ID   source_index target_index  pSource.x   pSource.y    pSource.z   pTarget.x   pTarget.y    pTarget.z   currentR  endvertex 
 0      4835      12707      5.1958      -2.09082      -6.08506      5.28125      -1.9375      -6.005      0.0463178      0
 1      10818      12346      5.72656      -2.75      -5.466      5.67969      -2.78125      -5.43      0.0238711      0
 2      3195      10818      5.67969      -2.78125      -5.43      5.67188      -2.78125      -5.346      0.00519067      0
 3      4375      3195      5.67188      -2.78125      -5.346      5.74219      -2.8125      -5.321      0.00459777      0
 4      4466      3195      5.67188      -2.78125      -5.346      5.61719      -2.71875      -5.293      0.00446556      0
 5      3096      4466      5.61719      -2.71875      -5.293      5.63628      -2.71094      -5.23275      0.00382351      0
 6      4467      3096      5.63628      -2.71094      -5.23275      5.6476      -2.72098      -5.08546      0.00308762      0
 7      4568      3096      5.63628      -2.71094      -5.23275      5.53906      -2.59375      -5.091      0.00274329      0
 8      10565      4568      5.53906      -2.59375      -5.091      5.46094      -2.5      -5.081      0.00151073      0
 9      12512      4568      5.53906      -2.59375      -5.091      5.53125      -2.53125      -5.021      0.000890996      1
 10      4647      10565      5.46094      -2.5      -5.081      5.45312      -2.375      -5.103      0.000729204      0
 11      12607      4647      5.45312      -2.375      -5.103      5.41406      -2.34375      -5.151      0.000166268      1
 12      10699      4467      5.6476      -2.72098      -5.08546      5.53125      -2.65625      -5.055      0.0021238      0
 13      10817      4467      5.6476      -2.72098      -5.08546      5.67969      -2.75      -4.993      0.00221455      0
 14      3286      10817      5.67969      -2.75      -4.993      5.85938      -2.6875      -4.748      0.000864169      1
 15      4569      10699      5.53125      -2.65625      -5.055      5.45312      -2.71875      -4.969      0.000781079      1
 16      12513      10699      5.53125      -2.65625      -5.055      5.48438      -2.59375      -4.942      0.00123307      0
 17      4649      12513      5.48438      -2.59375      -4.942      5.375      -2.5      -4.921      0.000376019      1
 18      3288      4375      5.74219      -2.8125      -5.321      5.74798      -2.84274      -5.25784      0.00406145      0
 19      12348      3288      5.74798      -2.84274      -5.25784      5.71094      -2.8125      -5.144      0.00338352      0
 20      3192      12348      5.71094      -2.8125      -5.144      5.67188      -2.78125      -5.136      0.00137981      1
 21      4376      12348      5.71094      -2.8125      -5.144      5.74219      -2.8125      -5.056      0.00263928      0
 22      12350      12348      5.71094      -2.8125      -5.144      5.67188      -2.875      -5.049      0.00137981      1
 23      3191      4376      5.74219      -2.8125      -5.056      5.64844      -2.8125      -5.012      0.00197954      0
 24      3189      3191      5.64844      -2.8125      -5.012      5.60938      -2.875      -4.925      0.000765164      1
 25      12430      3191      5.64844      -2.8125      -5.012      5.5625      -2.75      -4.948      0.00124206      0
 26      10696      12430      5.5625      -2.75      -4.948      5.46094      -2.78125      -4.837      0.000399055      1
 27      4240      11054      5.87587      -2.95486      -5.17206      6.00781      -3      -5.102      0.0396312      0
 28      4239      4240      6.00781      -3      -5.102      6.10156      -2.90625      -5.001      0.0208745      0
 29      12197      4240      6.00781      -3      -5.102      5.96875      -3.03125      -4.99      0.0384235      0
 30      3374      12197      5.96875      -3.03125      -4.99      5.92969      -3.03125      -4.88      0.0215923      0
 31      11159      12197      5.96875      -3.03125      -4.99      6.04023      -3.05313      -4.95417      0.037535      0
 32      4134      3523      6.15734      -3.13802      -4.74567      6.36719      -3.1875      -4.536      0.0269737      0
 33      11323      4134      6.36719      -3.1875      -4.536      6.38382      -3.29234      -4.41248      0.0250377      0
 34      3569      11323      6.38382      -3.29234      -4.41248      6.43725      -3.28024      -4.32429      0.0239301      0
 35      12051      3569      6.43725      -3.28024      -4.32429      6.46875      -3.28125      -4.331      0.0153129      0
 36      3566      12051      6.46875      -3.28125      -4.331      6.43813      -3.3674      -4.30646      0.00395495      0
 37      4102      12051      6.46875      -3.28125      -4.331      6.49219      -3.3125      -4.323      0.00737217      0
 38      11406      4102      6.49219      -3.3125      -4.323      6.47857      -3.34776      -4.26395      0.00438942      0
 39      11409      4102      6.49219      -3.3125      -4.323      6.53125      -3.28125      -4.29      0.00700138      0
 40      12015      4102      6.49219      -3.3125      -4.323      6.60156      -3.40625      -4.34      0.00337003      1
 41      4101      11409      6.53125      -3.28125      -4.29      6.57031      -3.1875      -4.302      0.00316279      1
 42      11411      11409      6.53125      -3.28125      -4.29      6.59375      -3.1875      -4.223      0.00629673      0
 43      3656      11411      6.59375      -3.1875      -4.223      6.80469      -3.0625      -4.272      0.00491273      0
 44      12049      11411      6.59375      -3.1875      -4.223      6.625      -3.125      -4.131      0.00375938      0
 45      3608      12049      6.625      -3.125      -4.131      6.63281      -3.09375      -4.121      0.00169315      0
 46      4100      3608      6.63281      -3.09375      -4.121      6.77344      -2.90625      -4.253      0.000738778      1
 47      11484      3656      6.80469      -3.0625      -4.272      6.83594      -3.09375      -4.258      0.00386011      0
 48      12013      11484      6.83594      -3.09375      -4.258      6.88281      -3.09375      -4.251      0.00353223      0
 49      4063      12013      6.88281      -3.09375      -4.251      6.9375      -3      -4.27      0.001571      1
 50      11539      12013      6.88281      -3.09375      -4.251      7.00781      -3.09375      -4.228      0.00292947      0
 51      11540      11539      7.00781      -3.09375      -4.228      7.04688      -3.03125      -4.261      0.00222619      0
 52      11579      11539      7.00781      -3.09375      -4.228      7.1875      -3.15625      -4.21      0.00116504      1
 53      4034      11540      7.04688      -3.03125      -4.261      7.21094      -2.9375      -4.345      0.00128744      0
 54      11980      11540      7.04688      -3.03125      -4.261      7.028      -3.02604      -4.27683      0.00091345      1
 55      3735      4034      7.21094      -2.9375      -4.345      7.20312      -2.90625      -4.352      0.000302473      1
 56      11580      4034      7.21094      -2.9375      -4.345      7.32031      -2.9375      -4.393      0.000302473      1
 57      4066      11406      6.47857      -3.34776      -4.26395      6.50229      -3.41921      -4.26893      0.00147749      0
 58      11479      4066      6.50229      -3.41921      -4.26893      6.52344      -3.44965      -4.24839      0.00110312      0
 59      11478      11479      6.52344      -3.44965      -4.24839      6.52319      -3.52218      -4.26761      0.000741419      0
 60      12016      11479      6.52344      -3.44965      -4.24839      6.57031      -3.46875      -4.184      0.000453027      1
 61      3652      11478      6.52319      -3.52218      -4.26761      6.57812      -3.5625      -4.198      0.000241715      1
 62      3605      3566      6.43813      -3.3674      -4.30646      6.46763      -3.41741      -4.30533      0.00052442      0
 63      11404      3605      6.46763      -3.41741      -4.30533      6.45427      -3.45122      -4.36451      0.0001666      1
 64      4036      11982      6.88281      -3.4375      -3.812      6.92969      -3.375      -3.755      0.0172101      0
 65      3760      11952      7.07031      -3.46875      -3.653      7.04688      -3.5625      -3.672      0.00768971      0
 66      3761      11952      7.07031      -3.46875      -3.653      7.12118      -3.49722      -3.57056      0.0127616      0
 67      4010      11952      7.07031      -3.46875      -3.653      7.10156      -3.375      -3.609      0.00974639      0
 68      11896      3788      7.25094      -3.50875      -3.54378      7.45312      -3.53125      -3.597      0.00644664      0
 69      3962      11674      7.29688      -3.5      -3.428      7.38281      -3.59375      -3.315      0.00639221      0
 70      11925      11674      7.29688      -3.5      -3.428      7.39369      -3.4902      -3.4251      0.0121839      0
 71      3815      11925      7.39369      -3.4902      -3.4251      7.5      -3.4375      -3.434      0.0113433      0
 72      11897      11925      7.39369      -3.4902      -3.4251      7.46294      -3.55596      -3.38184      0.00676443      0
 73      3942      11897      7.46294      -3.55596      -3.38184      7.46875      -3.71875      -3.454      0.00112726      0
 74      11871      11897      7.46294      -3.55596      -3.38184      7.60156      -3.59375      -3.44      0.00156326      0
 75      11872      11897      7.46294      -3.55596      -3.38184      7.55469      -3.65625      -3.315      0.00135698      0
 76      3835      11872      7.55469      -3.65625      -3.315      7.55469      -3.71875      -3.328      0.000487921      0
 77      11735      3835      7.55469      -3.71875      -3.328      7.5625      -3.75      -3.379      0.000142667      1
 78      11852      11871      7.60156      -3.59375      -3.44      7.77344      -3.65625      -3.485      0.000499164      1
 79      11873      3942      7.46875      -3.71875      -3.454      7.48438      -3.75      -3.416      0.000120199      1
 80      11707      3815      7.5      -3.4375      -3.434      7.57113      -3.44857      -3.33392      0.0104087      0
 81      11708      3815      7.5      -3.4375      -3.434      7.57485      -3.3234      -3.37328      0.00668065      0
 82      3960      11708      7.57485      -3.3234      -3.37328      7.61654      -3.30122      -3.34753      0.00253632      0
 83      3817      3960      7.61654      -3.30122      -3.34753      7.60156      -3.21875      -3.346      0.00207533      0
 84      11894      3960      7.61654      -3.30122      -3.34753      7.67188      -3.28125      -3.333      0.00128561      0
 85      11893      11894      7.67188      -3.28125      -3.333      7.69643      -3.33393      -3.32157      0.000139838      1
 86      3818      3817      7.60156      -3.21875      -3.346      7.64062      -3.125      -3.416      0.00139925      0
 87      3819      3818      7.64062      -3.125      -3.416      7.6875      -3.03125      -3.38      0.000471103      1
 88      11709      3818      7.64062      -3.125      -3.416      7.67188      -3.15625      -3.434      0.000862543      0
 89      3959      11709      7.67188      -3.15625      -3.434      7.71094      -3.125      -3.424      0.000565396      0
 90      3958      3959      7.71094      -3.125      -3.424      7.75      -3.0625      -3.455      0.000194512      1
 91      3961      11707      7.57113      -3.44857      -3.33392      7.57031      -3.34375      -3.261      0.00531182      0
 92      11736      11707      7.57113      -3.44857      -3.33392      7.66406      -3.53125      -3.317      0.00945671      0
 93      11895      11707      7.57113      -3.44857      -3.33392      7.64101      -3.39482      -3.29944      0.00853941      0
 94      3837      11895      7.64101      -3.39482      -3.29944      7.68441      -3.44186      -3.30012      0.00692599      0
 95      3838      11895      7.64101      -3.39482      -3.29944      7.72656      -3.3125      -3.16      0.00334184      1
 96      3940      3837      7.68441      -3.44186      -3.30012      7.758      -3.38318      -3.29007      0.00634081      0
 97      11737      3837      7.68441      -3.44186      -3.30012      7.71875      -3.4375      -3.163      0.00369667      0
 98      11869      11737      7.71875      -3.4375      -3.163      7.75781      -3.4375      -3.111      0.000732217      0
 99      11870      11737      7.71875      -3.4375      -3.163      7.69531      -3.5      -3.139      0.000600817      0
 100      3836      11870      7.69531      -3.5      -3.139      7.64062      -3.5      -3.123      0.000133999      1
 101      3851      11869      7.75781      -3.4375      -3.111      7.83594      -3.5      -3.098      0.00025121      1
 102      11868      3940      7.758      -3.38318      -3.29007      7.80469      -3.375      -3.16      0.00549009      0
 103      3852      11868      7.80469      -3.375      -3.16      7.92969      -3.28125      -3.139      0.00442672      0
 104      3928      3852      7.92969      -3.28125      -3.139      8.01562      -3.28125      -3.183      0.00353189      0
 105      11851      3928      8.01562      -3.28125      -3.183      8.08594      -3.28125      -3.148      0.00292711      0
 106      11761      11851      8.08594      -3.28125      -3.148      8.21094      -3.34375      -3.276      0.00164966      0
 107      11850      11851      8.08594      -3.28125      -3.148      8.13281      -3.21875      -3.205      0.00233299      0
 108      3927      11850      8.13281      -3.21875      -3.205      8.14062      -3.125      -3.164      0.00093805      1
 109      11849      11850      8.13281      -3.21875      -3.205      8.1875      -3.15625      -3.205      0.00173772      0
 110      3867      11849      8.1875      -3.15625      -3.205      8.25781      -3.1875      -3.338      0.000880807      0
 111      11848      11849      8.1875      -3.15625      -3.205      8.24219      -3.09375      -3.222      0.00119836      0
 112      3868      11848      8.24219      -3.09375      -3.222      8.32812      -3.03125      -3.212      0.000435562      1
 113      3926      11848      8.24219      -3.09375      -3.222      8.19531      -3.03125      -3.208      0.000691862      0
 114      3925      3926      8.19531      -3.03125      -3.208      8.25      -2.96875      -3.234      0.000213501      1
 115      3916      3867      8.25781      -3.1875      -3.338      8.27344      -3.25      -3.34      0.000153456      1
 116      11836      11761      8.21094      -3.34375      -3.276      8.26562      -3.3125      -3.327      0.00045694      0
 117      11762      11836      8.26562      -3.3125      -3.327      8.24219      -3.28125      -3.352      0.000106842      1
 118      3929      11736      7.66406      -3.53125      -3.317      7.76219      -3.53277      -3.35571      0.00858047      0
 119      11754      3929      7.76219      -3.53277      -3.35571      7.81747      -3.55824      -3.32923      0.00793382      0
 120      3859      11754      7.81747      -3.55824      -3.32923      7.89623      -3.60577      -3.33728      0.00734089      0
 121      3860      3859      7.89623      -3.60577      -3.33728      7.96094      -3.5625      -3.317      0.00502424      0
 122      3919      3859      7.89623      -3.60577      -3.33728      7.97734      -3.62891      -3.35442      0.00667956      0
 123      3920      3859      7.89623      -3.60577      -3.33728      7.90625      -3.75      -3.332      0.00340806      0
 124      11840      3920      7.90625      -3.75      -3.332      7.91406      -3.78125      -3.306      9.42861e-05      1
 125      11838      3919      7.97734      -3.62891      -3.35442      8.01562      -3.625      -3.387      0.0061776      0
 126      11839      3919      7.97734      -3.62891      -3.35442      7.94531      -3.71875      -3.434      0.00296826      1
 127      3866      11838      8.01562      -3.625      -3.387      8.05469      -3.65625      -3.432      0.00574767      0
 128      11837      11838      8.01562      -3.625      -3.387      8.0625      -3.5625      -3.438      0.00279588      1
 129      3873      3866      8.05469      -3.65625      -3.432      8.21094      -3.71875      -3.422      0.00408005      0
 130      3910      3866      8.05469      -3.65625      -3.432      8.14062      -3.71875      -3.345      0.00256733      1
 131      11831      3866      8.05469      -3.65625      -3.432      8.21875      -3.625      -3.421      0.00256733      1
 132      11832      3866      8.05469      -3.65625      -3.432      8.11719      -3.78125      -3.37      0.00495139      0
 133      3872      11832      8.11719      -3.78125      -3.37      8.16406      -3.84375      -3.501      0.00386626      0
 134      11767      3872      8.16406      -3.84375      -3.501      8.13281      -3.875      -3.53      0.00155543      1
 135      11827      3872      8.16406      -3.84375      -3.501      8.21094      -3.90625      -3.537      0.00303735      0
 136      11820      11827      8.21094      -3.90625      -3.537      8.39844      -4      -3.59      0.0020169      0
 137      11784      11820      8.39844      -4      -3.59      8.5      -3.875      -3.75      0.000613032      1
 138      3905      3873      8.21094      -3.71875      -3.422      8.35938      -3.71875      -3.359      0.00215866      0
 139      3906      3873      8.21094      -3.71875      -3.422      8.26562      -3.84375      -3.44      0.00156876      0
 140      11775      3873      8.21094      -3.71875      -3.422      8.32812      -3.8125      -3.446      0.00126025      1
 141      11774      3906      8.26562      -3.84375      -3.44      8.28906      -3.875      -3.352      0.000238612      1
